,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
11,1,199969,20000001.0,0.035467298033542344,1.7836048313529078,5.931631667884952,   2.4658629508591257      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
12,1,199969,20000001.0,5.44004095262584,0.0,3.321330846773648,   2.2926951210219890      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
13,1,199969,20000001.0,8.857047787700225,0.0,1.3851545995669423,   1.7147727947779048      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
14,1,199969,20000001.0,9.993260112522114,0.0,1.096719046481105,   1.5867940244724736      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
15,1,199969,20000001.0,11.048746547557831,0.0,1.160212838616161,   1.6168618173107678      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
16,1,199969,20000001.0,14.074267081919347,0.0,0.7681214498744758,   1.4104451259861213      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
17,1,199969,20000001.0,15.450509688764546,0.0,0.40407232256560094,   1.1383687447811002      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
18,1,199969,20000001.0,16.428979213260178,0.0,0.23660965511797385,  0.95262764681645395      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
19,1,199969,20000001.0,17.344285473114216,0.0,0.10095729839011687,  0.71734111110476939      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
20,1,199969,20000001.0,18.681703630340703,0.0,0.09308721238911961,  0.69824635434926807      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
21,1,199969,20000001.0,19.54644647597178,0.0,0.09578394792821655,  0.70490397202846766      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
22,1,199969,20000001.0,20.421767019454762,0.0,0.08214700983088977,  0.66971866857945994      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09279143065214156,3525593.5
