,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
11,1,199934,20000001.0,0.035424185406925685,37.450018541953135,41.77742133463564,   2.5003473346715941      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
12,1,199934,20000001.0,1.2566013107623115,0.9941729268909658,5.46136852318732,   2.5294066666312460      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
13,1,199934,20000001.0,7.750644472095712,0.0,2.205830843908747,   2.0018848717454456      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
14,1,199934,20000001.0,9.749446886201191,0.0,1.4755559417812778,   1.7516086281330794      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
15,1,199934,20000001.0,13.694443771018753,0.0,0.810833345015161,   1.4355693041248008      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
16,1,199934,20000001.0,15.700674113676245,0.0,0.39427861157583055,   1.1292937218627486      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
17,1,199934,20000001.0,17.025194544615495,0.0,0.2391285472804693,  0.95604784567249024      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
18,1,199934,20000001.0,18.07887678249845,0.0,0.1530402015717071,  0.82400899263761385      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
19,1,199934,20000001.0,20.077258248957826,0.0,0.08042840976475232,  0.66507385988640277      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.0,1.0,0.1,-0.09279143065214156,3525593.5
29,3,199939,20000001.0,0.0545985206094315,1149.4898687904856,1160.8395253307,   3.3825468221865940      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
